<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20090111,103002,114.450000000,1
GAZP,0,20090111,103002,114.150000000,1000
GAZP,0,20090111,103003,114.450000000,99
GAZP,0,20090111,103003,114.470000000,10
GAZP,0,20090111,103003,114.470000000,10
GAZP,0,20090111,103003,114.470000000,10
GAZP,0,20090111,103003,114.470000000,10
GAZP,0,20090111,103003,114.470000000,10
GAZP,0,20090111,103003,114.470000000,10
GAZP,0,20090111,103003,114.500000000,189
GAZP,0,20090111,103003,114.150000000,40
GAZP,0,20090111,103003,114.150000000,100
GAZP,0,20090111,103003,114.150000000,22
GAZP,0,20090111,103003,114.500000000,8
GAZP,0,20090111,103003,114.150000000,3
GAZP,0,20090111,103003,114.150000000,3
GAZP,0,20090111,103003,114.150000000,3
GAZP,0,20090111,103003,114.500000000,103
GAZP,0,20090111,103003,114.500000000,97
GAZP,0,20090111,103003,114.150000000,50
GAZP,0,20090111,103003,114.150000000,50
GAZP,0,20090111,103003,114.500000000,203
GAZP,0,20090111,103003,114.500000000,25
GAZP,0,20090111,103003,114.530000000,500
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
GAZP,0,20090111,103003,114.540000000,5
